id_int,id,location_type,net_type,parent_station,route_type,stop_code,stop_id,stop_name,unique_agency_id,wheelchair_boarding,x,y,zone_id
99,1589_detroit_department_of_transportation,,transit,,3.0,TRSENB,1589,TRUMBULL & SELDEN,detroit_department_of_transportation,,-83.07428,42.344598,
100,1593_detroit_department_of_transportation,,transit,,3.0,MALOWB,1593,MARTIN LUTHER KING BLVD & LODGE FWY,detroit_department_of_transportation,,-83.068943,42.343618,
101,1595_detroit_department_of_transportation,,transit,,3.0,MALOEB,1595,MARTIN LUTHER KING BLVD & LODGE FWY,detroit_department_of_transportation,,-83.06727,42.343482,
102,1601_detroit_department_of_transportation,,transit,,3.0,THMASB,1601,3RD & MARTIN LUTHER KING BOULEVARD,detroit_department_of_transportation,,-83.06519200000001,42.344124,
103,1602_detroit_department_of_transportation,,transit,,3.0,MA2NEB,1602,MARTIN LUTHER KING BLVD & 2ND,detroit_department_of_transportation,,-83.062699,42.345024,
104,1603_detroit_department_of_transportation,,transit,,3.0,MA2NWB,1603,MARTIN LUTHER KING BLVD & 2ND,detroit_department_of_transportation,,-83.063102,42.345177,
105,1604_detroit_department_of_transportation,,transit,,3.0,2NMANB,1604,2ND & MARTIN LUTHER KING BOULEVARD,detroit_department_of_transportation,,-83.062979,42.345526,
106,1605_detroit_department_of_transportation,,transit,,3.0,MACAEB,1605,MARTIN LUTHER KING BLVD & CASS,detroit_department_of_transportation,,-83.060474,42.345675,
107,1607_detroit_department_of_transportation,,transit,,3.0,MACAWB,1607,MARTIN LUTHER KING BLVD & CASS FAR,detroit_department_of_transportation,,-83.06108499999999,42.345694,
108,1608_detroit_department_of_transportation,,transit,,3.0,WDMASB,1608,Woodward & Martin Luther King,detroit_department_of_transportation,,-83.057541,42.346602000000004,
109,1611_detroit_department_of_transportation,,transit,,3.0,WDMANNB,1611,Woodward & Mack,detroit_department_of_transportation,,-83.05799,42.347631,
110,1614_detroit_department_of_transportation,,transit,,3.0,MKJOEB,1614,MACK & JOHN R,detroit_department_of_transportation,,-83.05554599999999,42.348362,
111,1616_detroit_department_of_transportation,,transit,,3.0,MKJOWB,1616,Mack & John R,detroit_department_of_transportation,,-83.05614399999999,42.348389000000005,
112,1622_detroit_department_of_transportation,,transit,,3.0,MKBEWB,1622,MACK & BEAUBIEN,detroit_department_of_transportation,,-83.052403,42.3497,
113,1625_detroit_department_of_transportation,,transit,,3.0,MKBEEB,1625,MACK & BEAUBIEN,detroit_department_of_transportation,,-83.051952,42.349565000000005,
114,1628_detroit_department_of_transportation,,transit,,3.0,MA3RWB,1628,MARTIN LUTHER KING BLVD & 3RD,detroit_department_of_transportation,,-83.065338,42.344383,
115,1670_detroit_department_of_transportation,,transit,,3.0,WR96EB,1670,Warren & I-96 Service Dr,detroit_department_of_transportation,,-83.095911,42.346584,
116,1673_detroit_department_of_transportation,,transit,,3.0,TRFOSB,1673,TRUMBULL & FOREST,detroit_department_of_transportation,,-83.07758100000001,42.349895000000004,
117,1676_detroit_department_of_transportation,,transit,,3.0,CSPENB,1676,CASS & PETERBORO,detroit_department_of_transportation,,-83.059975,42.344592,
118,1677_detroit_department_of_transportation,,transit,,3.0,CSPESB,1677,CASS & PETERBORO,detroit_department_of_transportation,,-83.05989100000001,42.343939,
119,1678_detroit_department_of_transportation,,transit,,3.0,2NSENB,1678,2ND & SELDEN,detroit_department_of_transportation,,-83.064391,42.347924,
120,1679_detroit_department_of_transportation,,transit,,3.0,CSMASB,1679,CASS & MARTIN LUTHER KING BOULEVARD,detroit_department_of_transportation,,-83.061036,42.345953,
121,2581_detroit_department_of_transportation,,transit,,3.0,FTHUWB,2581,FORT & HUBBARD,detroit_department_of_transportation,,-83.08654399999999,42.314139000000004,
122,2582_detroit_department_of_transportation,,transit,,3.0,FTSWEB,2582,FORT & SWAIN,detroit_department_of_transportation,,-83.085262,42.314361,
123,2585_detroit_department_of_transportation,,transit,,3.0,FTGREB,2585,Fort & Grand Blvd,detroit_department_of_transportation,,-83.08315999999999,42.315182,
124,2587_detroit_department_of_transportation,,transit,,3.0,FTGR1WB,2587,FORT & GRAND BLVD,detroit_department_of_transportation,,-83.083685,42.315236,
125,2588_detroit_department_of_transportation,,transit,,3.0,FT25WB,2588,FORT & 25TH,detroit_department_of_transportation,,-83.082634,42.315826,
126,2590_detroit_department_of_transportation,,transit,,3.0,FT24EB,2590,FORT & 24TH,detroit_department_of_transportation,,-83.080679,42.316307,
127,2591_detroit_department_of_transportation,,transit,,3.0,FT23WB,2591,FORT & 23RD,detroit_department_of_transportation,,-83.080337,42.316753999999996,
128,2594_detroit_department_of_transportation,,transit,,3.0,FT21EB,2594,FORT & 21ST,detroit_department_of_transportation,,-83.077258,42.317797,
129,2598_detroit_department_of_transportation,,transit,,3.0,FTSTEB,2598,FORT & ST ANNE,detroit_department_of_transportation,,-83.075168,42.318717,
130,2603_detroit_department_of_transportation,,transit,,3.0,FTSTWB,2603,FORT & ST ANNE,detroit_department_of_transportation,,-83.076035,42.318673,
131,2608_detroit_department_of_transportation,,transit,,3.0,14LAWB,2608,14TH & LAFAYETTE,detroit_department_of_transportation,,-83.070926,42.321512,
