id,x,y,id,old_node_id,id_int
62605569,-83.113635,42.355212,62605569,62605569,442
62605850,-83.058658,42.348546,62605850,62605850,443
62605851,-83.0616653,42.347263,62605851,62605851,444
62606541,-83.122651,42.362146,62606541,62606541,445
62606543,-83.122906,42.363546,62606543,62606543,446
62606546,-83.123069,42.364369,62606546,62606546,447
62606548,-83.123313,42.365742,62606548,62606548,448
62606550,-83.123554,42.367075,62606550,62606550,449
62606554,-83.123696,42.367866,62606554,62606554,450
62606587,-83.122428,42.362055,62606587,62606587,451
62606589,-83.122939,42.361857,62606589,62606589,452
62606592,-83.124178,42.361384,62606592,62606592,453
62606595,-83.125027,42.361063,62606595,62606595,454
62606597,-83.126959,42.360326,62606597,62606597,455
62606602,-83.130638,42.358903,62606602,62606602,456
62606603,-83.132645,42.358147,62606603,62606603,457
62606604,-83.133875,42.357684,62606604,62606604,458
62606608,-83.136788,42.356584,62606608,62606608,459
62606616,-83.137679,42.356341,62606616,62606616,460
62607445,-83.082754,42.3843516,62607445,62607445,461
62607448,-83.079757,42.3854604,62607448,62607448,462
62607450,-83.0767731,42.3865625,62607450,62607450,463
62607452,-83.0738046,42.3876588,62607452,62607452,464
62608956,-83.115923,42.314925,62608956,62608956,465
62608963,-83.118286,42.313967,62608963,62608963,466
62609928,-83.0478434,42.3329519,62609928,62609928,467
62609932,-83.0467305,42.3334398,62609932,62609932,468
62609954,-83.0460677,42.3349362,62609954,62609954,469
62609960,-83.0453615,42.3350156,62609960,62609960,470
62609962,-83.0450794,42.3354037,62609962,62609962,471
62609963,-83.0446082,42.3357561,62609963,62609963,472
62609965,-83.0438252,42.3367494,62609965,62609965,473
62609967,-83.0432666,42.337497,62609967,62609967,474
62609971,-83.0427088,42.3382077,62609971,62609971,475
62609982,-83.0411246,42.3405185,62609982,62609982,476
62609983,-83.041007,42.3406676,62609983,62609983,477
62609989,-83.0400084,42.3420248,62609989,62609989,478
62609992,-83.0387442,42.3436717,62609992,62609992,479
62610000,-83.0375002,42.3452875,62610000,62610000,480
62610017,-83.0347787,42.3486725,62610017,62610017,481
62610019,-83.0342903,42.3492998,62610019,62610019,482
62610022,-83.0333172,42.3505946,62610022,62610022,483
62610027,-83.032046,42.352495,62610027,62610027,484
62610029,-83.0318094,42.3528595,62610029,62610029,485
62610031,-83.030815,42.354377,62610031,62610031,486
62610034,-83.030198,42.355321,62610034,62610034,487
62610038,-83.0296,42.356232,62610038,62610038,488
62610040,-83.029003,42.357142,62610040,62610040,489
62610045,-83.027762,42.359035,62610045,62610045,490
62610047,-83.027521,42.359406,62610047,62610047,491
62610049,-83.02669,42.360671,62610049,62610049,492
62610055,-83.025664,42.362239,62610055,62610055,493
62610058,-83.025267,42.362843,62610058,62610058,494
62610060,-83.0241795,42.3645076,62610060,62610060,495
62610063,-83.023174,42.366031,62610063,62610063,496
62610067,-83.022358,42.367257,62610067,62610067,497
62610071,-83.021547,42.368477,62610071,62610071,498
62610074,-83.020737,42.369702,62610074,62610074,499
62610078,-83.020116,42.370626,62610078,62610078,500
62610081,-83.019534,42.371523,62610081,62610081,501
62610087,-83.017862,42.3740296,62610087,62610087,502
62610089,-83.0176849,42.374298,62610089,62610089,503
62610090,-83.017228,42.3749871,62610090,62610090,504
62610092,-83.016599,42.375955,62610092,62610092,505
62610093,-83.015934,42.376956,62610093,62610093,506
62610094,-83.015312,42.377887,62610094,62610094,507
62610095,-83.014688,42.378823,62610095,62610095,508
62610096,-83.014074,42.3797172,62610096,62610096,509
62610097,-83.013478,42.380652,62610097,62610097,510
62610100,-83.012879,42.381558,62610100,62610100,511
62610102,-83.012278,42.38247,62610102,62610102,512
62610103,-83.011678,42.383379,62610103,62610103,513
62610104,-83.010489,42.385175,62610104,62610104,514
62610106,-83.009893,42.386076,62610106,62610106,515
62610114,-83.0079904,42.3889599,62610114,62610114,516
62612764,-83.099232,42.35269,62612764,62612764,517
62612767,-83.099821,42.354037,62612767,62612767,518
62613414,-83.12988,42.296098,62613414,62613414,519
62613416,-83.131222,42.298029,62613416,62613416,520
62614034,-83.0800694,42.3266862,62614034,62614034,521
62614040,-83.0793969,42.326906,62614040,62614040,522
62615434,-83.129984,42.294393,62615434,62615434,523
62615438,-83.132596,42.293375,62615438,62615438,524
62615771,-83.113018,42.369408,62615771,62615771,525
62615775,-83.116284,42.368163,62615775,62615775,526
62615779,-83.118574,42.367284,62615779,62615779,527
62615796,-83.0823276,42.3333783,62615796,62615796,528
62615800,-83.0816671,42.3335828,62615800,62615800,529
62615802,-83.0805021,42.3339473,62615802,62615802,530
62615804,-83.0795218,42.334254,62615804,62615804,531
62615807,-83.0783495,42.3346208,62615807,62615807,532
62615808,-83.0770544,42.335026,62615808,62615808,533
62615818,-83.065131,42.338924,62615818,62615818,534
62615837,-83.0663205,42.3383815,62615837,62615837,535
62615838,-83.0674806,42.338018,62615838,62615838,536
62615841,-83.0701919,42.3371719,62615841,62615841,537
62615844,-83.0732628,42.336209,62615844,62615844,538
62615846,-83.0745173,42.3358149,62615846,62615846,539
62616389,-83.056411,42.349061,62616389,62616389,540
62616391,-83.0551205,42.3496085,62616391,62616391,541
